случай,группа,slow,начало,секунд,пик_дерева_гиб,свободно_на_входе_гиб,мин_свободно_гиб,ждал_памяти_с,код_выхода,снят_по_памяти
f_startup_ni,А,False,2026-09-23T16:20:41+03:00,12.2,0.24,7.66,7.36,0,0,False
f_startup_al,А,False,2026-09-23T16:20:54+03:00,10.2,0.23,7.60,7.39,0,0,False
f_startup_fe,А,False,2026-09-23T16:21:04+03:00,13.2,0.25,7.64,7.42,0,0,False
f_single_ni,А,False,2026-09-23T16:21:17+03:00,19.8,0.41,7.66,7.26,0,0,False
f_single_al,А,False,2026-09-23T16:21:37+03:00,21.4,0.99,7.66,6.69,0,0,False
f_single_fe,А,False,2026-09-23T16:21:58+03:00,20.8,0.70,7.66,6.97,0,0,False
f_tscan_ni,А,False,2026-09-23T16:22:19+03:00,22.4,0.96,7.66,6.81,0,0,False
f_tscan_al,А,False,2026-09-23T16:22:41+03:00,40.2,2.63,7.67,5.15,0,0,False
f_tscan_fe,А,False,2026-09-23T16:23:22+03:00,41.2,2.07,7.69,5.66,0,0,False
f_cscan_ni,А,False,2026-09-23T16:24:03+03:00,24.4,0.98,7.64,6.80,0,0,False
f_cscan_al,А,False,2026-09-23T16:24:27+03:00,31.0,1.71,7.69,6.07,0,0,False
f_cscan_fe,А,False,2026-09-23T16:24:58+03:00,35.1,1.09,7.69,6.69,0,0,False
f_solid_ni_sravn,А,True,2026-09-23T16:25:33+03:00,25.4,0.46,7.69,6.08,0,0,False
f_solid_ni_ravn,А,True,2026-09-23T16:25:59+03:00,23.9,0.45,7.67,7.25,0,0,False
f_solid_ni_scheil,А,True,2026-09-23T16:26:23+03:00,24.4,0.45,7.69,7.25,0,0,False
f_solid_al_sravn,А,True,2026-09-23T16:26:47+03:00,80.8,1.55,7.68,6.13,0,0,False
f_solid_al_ravn,А,True,2026-09-23T16:28:08+03:00,71.6,1.52,7.67,6.15,0,0,False
f_solid_al_scheil,А,True,2026-09-23T16:29:19+03:00,71.1,1.51,7.65,6.33,0,0,False
f_solid_fe_sravn,А,True,2026-09-23T16:30:31+03:00,71.6,1.75,7.83,6.07,0,0,False
f_solid_fe_ravn,А,True,2026-09-23T16:31:42+03:00,64.5,1.73,7.81,6.10,0,0,False
f_solid_fe_scheil,А,True,2026-09-23T16:32:47+03:00,67.1,1.74,7.81,6.09,0,0,False
f_energy_ni,А,False,2026-09-23T16:33:54+03:00,14.2,0.31,7.82,7.51,0,0,False
f_energy_al,А,False,2026-09-23T16:34:08+03:00,13.7,0.42,7.82,7.41,0,0,False
f_energy_fe,А,False,2026-09-23T16:34:22+03:00,17.3,0.35,7.81,7.48,0,0,False
f_driving_ni,А,False,2026-09-23T16:34:39+03:00,15.3,0.42,7.82,7.41,0,0,False
f_driving_al,А,False,2026-09-23T16:34:54+03:00,18.3,1.02,7.82,6.81,0,0,False
