случай,группа,slow,начало,секунд,пик_дерева_гиб,свободно_на_входе_гиб,мин_свободно_гиб,ждал_памяти_с,код_выхода,снят_по_памяти
f_startup_ni,А,False,2026-09-23T17:29:58+03:00,11.7,0.24,7.60,7.33,0,0,False
f_startup_al,А,False,2026-09-23T17:30:10+03:00,9.7,0.23,7.58,7.25,0,0,False
f_startup_fe,А,False,2026-09-23T17:30:20+03:00,13.2,0.25,7.50,7.32,0,0,False
f_single_ni,А,False,2026-09-23T17:30:33+03:00,20.9,0.41,7.52,7.10,0,0,False
f_single_al,А,False,2026-09-23T17:30:54+03:00,21.4,0.99,7.51,6.62,0,0,False
f_single_fe,А,False,2026-09-23T17:31:15+03:00,20.9,0.70,7.60,6.92,0,0,False
f_tscan_ni,А,False,2026-09-23T17:31:36+03:00,22.9,0.98,7.61,6.72,0,0,False
f_tscan_al,А,False,2026-09-23T17:31:59+03:00,41.8,2.63,7.60,5.07,0,0,False
f_tscan_fe,А,False,2026-09-23T17:32:41+03:00,41.2,2.07,7.60,5.63,0,0,False
f_cscan_ni,А,False,2026-09-23T17:33:22+03:00,23.9,0.98,7.60,6.72,0,0,False
f_cscan_al,А,False,2026-09-23T17:33:46+03:00,30.5,1.71,7.61,5.98,0,0,False
f_cscan_fe,А,False,2026-09-23T17:34:16+03:00,40.8,1.10,7.59,5.57,0,0,False
f_solid_ni_sravn,А,True,2026-09-23T17:34:57+03:00,30.6,0.47,6.71,5.91,0,0,False
f_solid_ni_ravn,А,True,2026-09-23T17:35:28+03:00,27.0,0.45,6.55,6.07,0,0,False
f_solid_ni_scheil,А,True,2026-09-23T17:35:55+03:00,27.5,0.45,6.54,6.22,0,0,False
f_solid_al_sravn,А,True,2026-09-23T17:36:22+03:00,81.9,1.55,7.29,5.67,0,0,False
f_solid_al_ravn,А,True,2026-09-23T17:37:44+03:00,72.8,1.53,7.22,5.66,0,0,False
f_solid_al_scheil,А,True,2026-09-23T17:38:57+03:00,75.4,1.53,7.21,5.67,0,0,False
f_solid_fe_sravn,А,True,2026-09-23T17:40:13+03:00,69.7,1.75,7.22,5.50,0,0,False
f_solid_fe_ravn,А,True,2026-09-23T17:41:22+03:00,62.5,1.73,7.24,5.61,0,0,False
f_solid_fe_scheil,А,True,2026-09-23T17:42:25+03:00,65.2,1.73,7.32,5.43,0,0,False
f_energy_ni,А,False,2026-09-23T17:43:30+03:00,14.3,0.31,7.16,6.87,0,0,False
f_energy_al,А,False,2026-09-23T17:43:44+03:00,14.3,0.41,7.17,6.77,0,0,False
f_energy_fe,А,False,2026-09-23T17:43:58+03:00,17.8,0.38,7.17,6.80,0,0,False
f_driving_ni,А,False,2026-09-23T17:44:16+03:00,15.3,0.43,7.17,6.79,0,0,False
f_driving_al,А,False,2026-09-23T17:44:32+03:00,18.3,1.02,7.22,6.20,0,0,False
f_driving_fe,А,False,2026-09-23T17:44:50+03:00,21.4,0.68,7.21,6.55,0,0,False
f_tzero_ni,А,False,2026-09-23T17:45:11+03:00,15.8,0.31,7.22,6.92,0,0,False
f_tzero_al,А,False,2026-09-23T17:45:27+03:00,12.7,0.30,7.22,6.98,0,0,False
f_tzero_fe,А,False,2026-09-23T17:45:40+03:00,43.2,0.32,7.26,6.97,0,0,False
f_density_ni,А,False,2026-09-23T17:46:23+03:00,19.3,0.41,7.27,6.68,0,0,False
f_density_al,А,False,2026-09-23T17:46:42+03:00,20.3,0.99,7.18,6.44,0,0,False
f_density_fe,А,False,2026-09-23T17:47:03+03:00,25.4,0.72,7.41,6.71,0,0,False
f_density_warning_ni,А,False,2026-09-23T17:47:28+03:00,51.4,1.67,7.42,5.77,0,0,False
f_density_t_ni,А,False,2026-09-23T17:48:19+03:00,15.8,0.43,7.43,7.00,0,0,False
f_density_t_al,А,False,2026-09-23T17:48:35+03:00,36.6,2.57,7.41,5.00,0,0,False
f_density_t_fe,А,False,2026-09-23T17:49:12+03:00,31.5,1.34,7.48,6.15,0,0,False
f_elastic_ni,А,False,2026-09-23T17:49:43+03:00,19.8,0.43,7.48,7.07,0,0,False
f_elastic_al,А,False,2026-09-23T17:50:03+03:00,21.3,0.99,7.48,6.52,0,0,False
f_elastic_fe,А,False,2026-09-23T17:50:25+03:00,26.9,0.72,7.50,6.78,0,0,False
f_strength_ni,А,False,2026-09-23T17:50:51+03:00,12.2,0.25,7.59,7.36,0,0,False
f_strength_al,А,False,2026-09-23T17:51:04+03:00,10.2,0.24,7.59,7.31,0,0,False
f_strength_fe,А,False,2026-09-23T17:51:14+03:00,13.7,0.26,7.59,7.34,0,0,False
f_binary_ni,А,True,2026-09-23T17:51:28+03:00,28.5,0.42,7.59,7.18,0,0,False
f_binary_al,А,True,2026-09-23T17:51:56+03:00,42.7,1.18,7.59,6.42,0,0,False
f_binary_fe,А,True,2026-09-23T17:52:39+03:00,34.6,0.96,7.59,6.62,0,0,False
f_isopleth_ni,А,True,2026-09-23T17:53:13+03:00,78.8,1.29,7.57,6.30,0,0,False
f_isopleth_al,А,True,2026-09-23T17:54:32+03:00,193.1,1.94,7.57,5.76,0,0,False
f_isopleth_fe,А,True,2026-09-23T17:57:45+03:00,72.7,1.49,7.77,6.28,0,0,False
f_ternary_ni,А,True,2026-09-23T17:58:58+03:00,39.7,0.79,7.75,6.96,0,0,False
f_ternary_al,А,True,2026-09-23T17:59:38+03:00,110.8,1.59,7.77,6.18,0,0,False
